scorer,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200
bodyparts,eye,eye,eye,ear,ear,ear,shoulder,shoulder,shoulder,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,424.29688,423.8478,0.6533753,447.07108,429.03516,0.5795554,483.73245,378.73856,0.69176674,399.02893,404.08994,0.81403875
1,421.59845,426.11047,0.6459025,446.66553,429.2485,0.58834827,484.0062,378.74176,0.674235,400.58398,405.39468,0.8113508
2,424.42755,423.69998,0.65993315,447.72086,429.06137,0.61605036,484.65308,379.53146,0.6882895,399.4229,404.02182,0.81882113
3,424.42157,423.4569,0.64172417,447.75217,429.07874,0.6012165,484.42264,378.8271,0.697604,399.28485,403.8911,0.8036415
4,423.83127,424.09308,0.6472564,447.1241,429.1778,0.58621746,483.96216,379.0989,0.673021,400.42804,404.60968,0.81487954
5,424.22668,424.02548,0.63409305,447.33685,429.30173,0.57883435,484.07278,378.5165,0.68905956,399.07822,404.36075,0.80498224
6,424.08054,423.6415,0.64512604,447.18124,429.05847,0.5862144,484.09653,378.42838,0.6739084,399.35547,403.7823,0.80969983
7,424.04004,423.9171,0.6403635,447.27188,429.19818,0.58596605,484.03098,378.9791,0.6776221,398.90564,404.16345,0.80321914
8,423.98526,423.4669,0.64512426,447.25403,429.3132,0.59859556,484.55655,379.04935,0.67091125,399.10526,403.80304,0.8073005
9,424.14407,423.48236,0.63961864,447.12027,429.3731,0.5946097,484.27878,377.79434,0.67794687,399.2218,403.69934,0.80030316
10,423.8978,423.58035,0.6410468,447.15768,429.27258,0.5886894,484.39886,378.92227,0.6802061,398.8574,403.87424,0.8143542
11,424.56805,423.11584,0.6493119,447.27386,428.77698,0.57947576,484.35205,378.25674,0.67382485,398.95578,403.57245,0.82011974
12,423.82965,423.52847,0.63545495,446.50577,429.22928,0.57195365,483.96414,378.6717,0.67736244,398.98166,404.07812,0.80379015
13,423.8642,423.6499,0.63527226,447.47522,429.36084,0.58677393,484.51743,379.1644,0.66942364,398.9028,403.7509,0.8190883
14,424.00406,423.61267,0.65702486,446.8902,429.22278,0.56816727,483.9252,378.6935,0.66273355,398.9348,403.78125,0.8204199
15,424.2203,423.84796,0.6325605,447.3991,429.19675,0.58433896,483.9031,378.45667,0.68425447,399.05963,403.7114,0.8044198
16,423.9872,423.88406,0.65576655,446.96884,429.25482,0.58177185,484.52133,379.24677,0.6627905,398.56696,404.23416,0.8254769
17,424.0246,423.89328,0.6619942,446.83948,429.13464,0.56931275,484.1871,378.73868,0.68227714,399.03793,404.21512,0.8186282
18,424.0751,423.61258,0.6385087,446.9278,429.01212,0.57153815,484.45355,379.0674,0.6810097,398.63055,403.94168,0.81476367
19,424.48447,423.42432,0.64021766,447.3013,428.61502,0.59478277,484.50113,378.38,0.6757794,399.23776,403.52945,0.8095458
20,424.4716,422.9023,0.64282846,446.89053,428.4103,0.58518374,484.59122,378.4515,0.68617165,399.2041,403.5153,0.8095943
21,424.2704,424.00668,0.64191216,447.35452,429.28247,0.5793336,484.4655,379.55127,0.6799686,399.2554,404.68454,0.81361246
22,424.05637,423.80966,0.6392097,447.12827,429.26694,0.57133585,484.28406,378.75815,0.64465183,400.78394,405.6431,0.8188965
23,422.81204,426.7878,0.62350273,446.93576,429.78375,0.5653564,484.4032,378.7754,0.65178496,398.9098,404.42233,0.7998341
24,424.08618,423.6384,0.6436022,446.93457,428.8578,0.5723254,484.37408,379.0836,0.6647818,399.0112,404.2431,0.82003105
25,423.9544,423.67654,0.65849173,446.67566,429.04205,0.5659878,484.37552,378.62698,0.66257536,399.01358,404.23837,0.8234468
26,424.50516,422.8335,0.6654703,446.9863,428.27875,0.5703425,484.01215,378.35678,0.6722129,398.97974,404.28036,0.8299399
27,424.10464,423.6684,0.65189254,446.9765,428.81058,0.57924455,484.22543,378.8255,0.694577,400.9012,405.03235,0.82303274
28,421.9792,425.59314,0.64672714,446.8158,429.2645,0.57392955,484.34662,379.0858,0.6820564,398.9929,404.6015,0.8063775
29,423.9959,424.1023,0.6544933,446.86978,429.0045,0.5751852,484.0299,378.6064,0.67055845,398.8733,404.3318,0.82218367
30,424.14166,424.15213,0.6246897,447.24414,429.08893,0.5819963,484.38,378.6589,0.66898996,401.04468,405.56418,0.79960495
31,423.83536,423.87326,0.64520514,446.8274,429.21365,0.57276565,484.3155,378.30875,0.66959155,400.5712,405.5055,0.8302667
32,424.21658,423.7622,0.6610032,446.85898,429.17593,0.5802698,483.68213,378.2533,0.65419555,399.09875,404.6166,0.8222545
33,424.09167,423.6084,0.65515774,446.7601,429.04477,0.57546407,484.1001,378.42462,0.66142035,399.0804,404.3095,0.8213769
34,424.0682,423.80948,0.63975596,446.87036,429.0123,0.58651257,484.39905,378.97964,0.65949184,400.85614,404.94922,0.8219963
35,424.3421,424.32193,0.6500838,447.15417,429.26855,0.579171,485.17303,379.92477,0.68166804,399.067,404.93912,0.82327914
36,423.42093,423.90738,0.6454732,446.66623,428.9426,0.56795484,485.04736,378.65997,0.67392534,400.66806,405.00507,0.8178803
37,423.6721,423.91388,0.6546419,446.45358,429.41516,0.5673942,484.66223,379.0399,0.6572748,399.08005,404.4278,0.8186692
38,423.41684,423.84424,0.6433159,446.34436,428.85788,0.57130903,484.28534,378.7311,0.6793328,400.68405,405.36975,0.82961625
39,423.19806,423.8904,0.6320912,446.477,429.04428,0.55241936,484.61688,379.14307,0.6842306,400.86295,404.84967,0.8218832
40,423.9622,424.39874,0.64690685,446.8823,429.48175,0.57527184,484.74246,379.02417,0.6786615,400.89624,405.84436,0.8291422
41,424.28494,423.73825,0.6400679,447.11127,429.0434,0.569887,484.6297,378.73727,0.68855023,399.04715,404.37762,0.79630816
42,423.36877,424.21457,0.64543444,446.3532,429.12512,0.5468388,484.41025,378.8831,0.6770806,400.77722,405.70407,0.8194299
43,423.96866,423.92004,0.64622676,446.87274,428.8539,0.57575786,484.63647,379.29034,0.6920667,398.86176,404.57022,0.8124931
