scorer,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200
bodyparts,eye,eye,eye,ear,ear,ear,shoulder,shoulder,shoulder,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,441.16534,360.99457,0.63528967,459.9667,371.0939,0.71293545,492.5,319.4064,0.8074962,420.1927,341.1103,0.72478575
1,440.48157,361.81207,0.64748126,459.76987,371.92917,0.7048725,492.3438,319.2242,0.8102001,419.70264,341.24332,0.7409266
2,440.17163,360.89597,0.6297608,459.75397,371.2705,0.7021736,492.18436,319.15866,0.8166534,420.0778,340.93524,0.7328238
3,440.61212,361.29868,0.65096575,459.3781,371.37332,0.7101274,492.02826,319.11664,0.817495,419.61996,341.29376,0.758592
4,440.383,361.03104,0.63630235,459.62454,371.14343,0.70378846,492.00885,319.05197,0.822149,419.7995,340.9988,0.74676025
5,440.21365,361.69946,0.6415748,459.23447,371.71826,0.701876,492.44315,319.236,0.8125785,419.50555,341.2938,0.7433264
6,440.64365,361.33408,0.63044995,459.666,371.37747,0.70317006,492.13086,318.90836,0.8283338,419.92715,341.09714,0.7461646
7,440.63718,361.51422,0.63138074,459.62668,371.25296,0.70405805,492.21652,318.9499,0.82829404,419.77643,341.3006,0.70607114
8,440.7708,361.01834,0.63098043,459.46234,371.0493,0.7007274,492.2808,319.01736,0.8254129,420.08997,340.99734,0.7291246
9,440.69077,361.6095,0.6193711,459.75256,371.63803,0.70806634,492.39984,319.13434,0.814348,419.86945,341.04065,0.7331225
10,441.4765,361.16177,0.65108955,460.52582,371.24332,0.7257195,492.16055,318.96158,0.82567334,420.1345,341.28534,0.73647135
11,440.79535,361.60645,0.64033216,459.89227,371.48727,0.7071991,492.2611,319.26144,0.8082712,419.75635,341.05023,0.73743534
12,440.9083,361.2098,0.6437267,459.46915,371.3934,0.71484053,492.47556,319.03165,0.8147501,419.73605,341.16504,0.7349904
13,440.33493,361.60187,0.656124,459.34305,371.77942,0.7137559,492.5339,319.05682,0.8220666,419.7487,341.07663,0.7530191
14,438.97998,361.39832,0.64959574,459.3142,371.06677,0.70851487,492.14447,319.1233,0.8251224,419.67923,341.1223,0.75159186
15,439.96436,361.80234,0.6611991,459.34702,371.22134,0.7132839,492.36688,319.08105,0.8241975,419.47726,341.4957,0.7486818
16,440.5569,361.1093,0.6443852,459.12323,371.32336,0.71413565,492.52542,319.22562,0.8141996,419.86752,341.2675,0.7447097
17,440.49384,361.87958,0.64638287,459.33295,371.50012,0.7090264,492.34,319.11707,0.8217942,419.60104,341.27948,0.73435086
18,439.03812,362.19034,0.6516244,459.27673,371.69156,0.710051,492.21405,319.09277,0.8178538,419.5297,341.2027,0.7468439
19,440.73477,360.6873,0.62315625,459.86716,371.12085,0.7096721,492.24304,319.1444,0.82289505,420.22052,340.81918,0.7432933
20,440.45215,361.80844,0.6560208,459.28955,372.0191,0.714042,492.5669,319.10196,0.814564,419.71408,341.09128,0.74515754
21,440.33008,362.221,0.65074736,459.33585,371.50708,0.71219605,492.40842,319.1669,0.81453586,419.52023,341.5791,0.733233
22,440.4735,361.82867,0.63169044,459.56018,371.7683,0.7106994,492.49368,318.99985,0.82796425,419.9632,341.2786,0.72435653
23,441.06378,361.57416,0.648837,459.53247,371.34857,0.7143888,492.4184,319.01184,0.81419826,419.71185,341.52887,0.74081427
24,440.64404,361.77615,0.6410965,459.75534,371.79745,0.7104907,492.51932,318.9718,0.828903,419.61624,341.1883,0.73646104
25,439.0073,361.57077,0.64544916,459.10388,371.6207,0.7048102,492.25647,319.00162,0.8330476,419.77985,341.355,0.73924816
26,440.60153,361.83514,0.6491958,459.32803,371.7494,0.7120432,492.3233,319.03534,0.81778854,419.7226,341.2002,0.73307234
27,440.38882,361.52777,0.63982624,459.99057,371.45914,0.7173389,492.5083,319.03467,0.81764865,419.92236,341.18506,0.70576006
28,440.6308,362.11066,0.658914,459.3103,371.69107,0.7163937,492.0595,319.19785,0.81612,419.77173,341.44977,0.7468451
29,440.68094,361.6241,0.66544104,459.30765,371.32016,0.7182003,492.0952,319.0129,0.8195293,419.54242,341.35107,0.74870473
30,440.31915,361.23917,0.65124714,458.9522,371.0369,0.70946,492.24576,318.85083,0.8282324,419.73785,341.27264,0.739307
31,440.65515,361.32428,0.6457291,459.56656,371.47382,0.71668625,492.2023,319.11026,0.8164154,419.9177,341.2708,0.7464025
32,440.35342,361.61765,0.6452071,459.00244,371.38492,0.7045247,492.27777,319.07922,0.8106745,419.539,341.17075,0.7503122
33,438.9494,361.9393,0.6518304,458.5882,371.72443,0.70546395,492.17636,319.22736,0.8104174,419.58008,341.3077,0.747195
34,440.87488,361.08636,0.6399284,459.36642,371.41522,0.7126064,492.38965,319.1053,0.8135294,419.89908,341.12595,0.73758733
35,440.54346,361.85376,0.6435923,459.00504,371.67007,0.70465106,492.04712,319.27008,0.81594115,419.53183,341.25717,0.73752296
36,440.6358,361.68958,0.64205074,459.11948,371.517,0.7085925,492.18115,319.2182,0.82279986,419.60333,341.16895,0.7376246
37,439.13217,361.79297,0.6345088,459.21182,371.02637,0.6896892,492.449,318.9254,0.8220484,419.6973,340.96268,0.7384062
38,440.1637,360.79175,0.6474627,460.14468,370.386,0.7107754,492.03445,319.09824,0.82445675,420.5855,340.84506,0.6582893
39,439.5962,358.64627,0.6226184,459.05508,371.0256,0.7047004,491.98798,318.7457,0.84005386,419.86893,339.28256,0.7517483
40,438.48926,362.29333,0.70486456,456.93042,373.77054,0.6989975,491.59268,319.06403,0.8158707,417.48044,340.99686,0.751005
41,438.7742,361.663,0.75894225,457.39594,371.68265,0.7157468,491.72998,319.251,0.8121658,416.3566,342.05997,0.74399316
42,442.91266,359.19998,0.6269442,461.75018,364.86093,0.7316445,491.61014,319.1106,0.8399537,418.78537,339.60864,0.6603131
43,440.2274,357.67444,0.65167093,461.57947,363.80402,0.7399069,491.12375,318.8697,0.84646994,419.51413,340.23486,0.68961525
